element_id,name,category,query_label,tfidf_x,tfidf_y,hash_x,hash_y,tfidf_kmeans_cluster,hashing_kmeans_cluster
node/448625827,Enchanted Woodland - Community Woodland,park relaxed,parks,0.42113486944075784,-0.12594742112456728,0.46159688102920293,0.12810153225793658,0,2
node/947601398,Thorndon Country Park North,park relaxed,parks,0.5833570716465288,-0.2850967927535634,0.4238204081589193,0.40076412638385145,0,2
node/1694552975,Weald Country Park,park relaxed,parks,0.5947793739297461,-0.2682055613566635,0.4809974643689642,0.5023561831783153,0,2
node/7149157916,The Old Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.47694750352365506,0.47527306163403993,0,2
node/7498940369,Nork Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.4489689137084456,0.5001526495028769,0,2
node/7833610822,Costead Manor Road Rope Swing,park relaxed,parks,0.5958872419390853,-0.26052952357923936,0.3970818752249035,0.22953927902007829,0,2
node/8954753262,Burnt Oak Lane Open Space,park relaxed,parks,0.469453417871709,0.10726092123622459,0.4591445768293976,-0.009049800057163632,0,1
node/11563926902,Trailnet CIC,park relaxed,parks,0.7049913638985217,0.20313838716747734,0.5171211567469681,-0.07331128136171351,0,1
node/11753048107,Laburnum Close Green,park relaxed,parks,0.5558393517918365,-0.29124508462569265,0.3857940631017724,0.381910309432963,0,2
node/12151808712,Harebreaks Recreation Ground,park relaxed,parks,0.5542955001219456,0.16371197382468208,0.5663549328915756,-0.06626424134615388,0,1
node/12151828181,Cassiobury Park,park relaxed,parks,0.6913726669790724,0.14683493290810548,0.6471154272739896,-0.012851883735807184,0,2
node/12151832583,Meriden Park,park relaxed,parks,0.6639965274773284,0.13134543933163206,0.6358980019564552,-0.03348004315657366,0,2
node/12151854833,Callowland Recreation Ground,park relaxed,parks,0.5480028691737877,0.17081618881634605,0.617410945675517,-0.07733316643185091,0,1
node/12151896934,Garston Park,park relaxed,parks,0.6704170345483433,0.10953864589485468,0.6423613049097889,-0.029159076768513446,0,2
node/12151958263,Cheslyn House & Gardens,park relaxed,parks,0.627991758405608,0.20077259524135774,0.6582765397329104,-0.023315514181018033,0,1
node/13276415126,Belmont station park,park relaxed,parks,0.6677178416466569,-0.33236944744889313,0.4711779205816659,0.4029449411711584,0,2
node/13515968101,Ealing Beaver Project,park relaxed,parks,0.677028270565737,-0.36292026509383135,0.3695724159150258,0.3582188745999237,0,2
node/13526930459,Church Green,park relaxed,parks,0.4654232248068002,-0.10070104832145226,0.4877905789109158,0.298183095485067,0,2
node/13760684102,Wharf Road Park,park relaxed,parks,0.5592850755401418,-0.19173115283741318,0.43691473208744097,0.19575060067291727,0,2
way/2903368,St Michael's Green,park relaxed,parks,0.5558393517918365,-0.29124508462569265,0.37908457899000164,0.37074945392815306,0,2
way/2903398,Bush Hill Park,park relaxed,parks,0.5586831194713462,-0.2844508450081907,0.4328880659606527,0.4585587740015532,0,2
way/2914274,Stephens House & Grounds,park relaxed,parks,0.6287158828630811,-0.2565539775046684,0.3802979610472758,0.24597773526175906,0,2
way/2926821,Oakwood Park,park relaxed,parks,0.6711386721223614,-0.31017513894258214,0.4727701718491262,0.38662662377654217,0,2
way/2939009,Enfield Town Park,park relaxed,parks,0.6806955915080293,-0.3459263598039746,0.5057242656417644,0.45906673230715656,0,2
way/2939140,Victoria Recreation Ground,park relaxed,parks,0.43438983078613913,-0.20340322554223905,0.34693831362801936,0.26567017986405483,0,2
way/2953350,Sunnyhill Park,park relaxed,parks,0.5733427884680563,-0.24681336764509437,0.5159758891207216,0.3363716111350406,0,2
way/2955990,Whetstone Stray,park relaxed,parks,0.677028270565737,-0.36292026509383135,0.38292382039741285,0.42890142576775603,0,2
way/2956125,School Playing Fields,park relaxed,parks,0.677028270565737,-0.36292026509383135,0.36524136393136647,0.39717351405484524,0,2
way/2956783,Lewisham Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.47301836995448404,0.4787832380148407,0,2
way/3241371,Russell Square,park relaxed,parks,0.4296163432951893,-0.2087023525457863,0.39554967069191976,0.17148401058891072,0,2
way/3241840,Tavistock Square,park relaxed,parks,0.472100491673224,-0.1573892006054963,0.44415669465929297,0.13401851394267128,0,2
way/3385169,Glebelands Playing Fields Park,park relaxed,parks,0.6555666708426746,-0.32258738692535677,0.4397631852079767,0.3833606115224633,0,2
way/3400436,Friary Park,park relaxed,parks,0.660595948937184,-0.31590146446279294,0.4814215096835961,0.3476215428209534,0,2
way/3401837,Hatherop Park,park relaxed,parks,0.6610571619650025,-0.3435720129276978,0.48646942576968416,0.4045429614613541,0,2
way/3430579,Carlisle Park,park relaxed,parks,0.6730564604583268,-0.3254131378346818,0.5131458702318916,0.3568553882915357,0,2
way/3541791,Hampton Court Green,park relaxed,parks,0.5153629102229587,-0.22241632613660592,0.5169879864909841,0.23497116788345362,0,2
way/3664747,Durants Park,park relaxed,parks,0.6762424115153841,-0.34424695841894914,0.5247114321313472,0.5455866266850636,0,2
way/3690598,The Pleasance,park relaxed,parks,0.677028270565737,-0.36292026509383135,0.43270761308177164,0.5155524200526629,0,2
way/3725292,Oakmere Park,park relaxed,parks,0.6602025711599976,-0.3436728832485506,0.4367670663870883,0.4094750737650269,0,2
way/3872808,Broomfield Park,park relaxed,parks,0.6806955915080293,-0.3459263598039746,0.45915646254174736,0.4915557060713309,0,2
way/3986346,Kensington Gardens,park relaxed,parks,0.5197042929169892,-0.14686480959393428,0.5197004805368596,0.11834254020250091,0,2
way/3988895,Grove Park,park relaxed,parks,0.6729088477374365,-0.3528013764255464,0.4895427704994763,0.4672838459782834,0,2
way/3991615,Hampton Court Park,park relaxed,parks,0.6368153041219571,-0.2926096927204193,0.5265087105626742,0.282361117961261,0,2
way/4001101,Big Wood,park relaxed,parks,0.6574720098038451,-0.3336318885023951,0.4270905686474898,0.2602784142458344,0,2
way/4001293,St Pancras and Islington Cemetery,park relaxed,parks,0.533288143286127,-0.0678491099580842,0.41517788845556786,0.15598916312723768,0,2
way/4006015,Old Deer Park,park relaxed,parks,0.6730564604583268,-0.3254131378346818,0.46247481386363226,0.33405578219266996,0,2
way/4013452,Arrandene Open Space,park relaxed,parks,0.5270015742063261,-0.24448102864516613,0.39176854324893795,0.3064888292923429,0,2
