image_id,path,category,dataset,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,brightness,contrast,edge_density,texture_variance,hsv_hist_00,hsv_hist_01,hsv_hist_02,hsv_hist_03,hsv_hist_04,hsv_hist_05,hsv_hist_06,hsv_hist_07,hsv_hist_08,hsv_hist_09,hsv_hist_10,hsv_hist_11,hsv_hist_12,hsv_hist_13,hsv_hist_14,hsv_hist_15,hsv_hist_16,hsv_hist_17,hsv_hist_18,hsv_hist_19,hsv_hist_20,hsv_hist_21,hsv_hist_22,hsv_hist_23,hsv_hist_24,hsv_hist_25,hsv_hist_26,hsv_hist_27,image_pca_x,image_pca_y,colour_kmeans_cluster,texture_kmeans_cluster
pinterest_future_city_000,E:\11.python work\cora-data\photos1\pinterest_future_city_000.jpg,park relaxed,pinterest_park_images,0.5323302149772644,0.5056643486022949,0.4561123549938202,0.39520394802093506,0.38084375858306885,0.37007325887680054,0.5080394071691177,0.3822941378707099,0.0545654296875,0.009953439190611243,0.0694580078125,0.1524658203125,0.0518798828125,0.011433918960392475,0.04229736328125,0.0033365886192768812,0.0012410482158884406,0.00018310546875,8.138021075865254e-05,0.0,6.103515625e-05,0.0008951823110692203,0.1219889298081398,0.0706583634018898,0.0515340156853199,0.0392049141228199,0.02500406838953495,0.014851887710392475,0.00616455078125,0.0039265952073037624,0.0780436173081398,0.0414835624396801,0.04052734375,0.012858073227107525,0.0060628256760537624,0.0077107748948037624,0.013916015625,0.1327311247587204,3.523243684480687,4.70719998400603,1,0
pinterest_future_city_001,E:\11.python work\cora-data\photos1\pinterest_future_city_001.jpg,park relaxed,pinterest_park_images,0.4260696768760681,0.334228515625,0.2724604606628418,0.2482292503118515,0.2150837779045105,0.1942737102508545,0.35463484221813724,0.21920058152451125,0.10467529296875,0.015361744092404843,0.24517822265625,0.0530802421271801,0.0031534831505268812,0.0009765625,0.0010172525653615594,0.0008341471548192203,0.0128173828125,0.0055135092698037624,0.0023193359375,0.0008951823110692203,0.0015665689716115594,0.0059814453125,0.02964274026453495,0.0383707694709301,0.0629475936293602,0.0943400040268898,0.0586954765021801,0.02669270895421505,0.01141357421875,0.01123046875,0.0340372733771801,0.06085205078125,0.0508829765021801,0.06768798828125,0.0540364570915699,0.02463785745203495,0.01845296286046505,0.02274576760828495,-1.5420563591044063,1.8223797626245302,0,1
pinterest_future_city_002,E:\11.python work\cora-data\photos1\pinterest_future_city_002.jpg,park relaxed,pinterest_park_images,0.19429045915603638,0.1928715854883194,0.18994620442390442,0.1731652319431305,0.17175176739692688,0.16854296624660492,0.19298047832414217,0.1718129778980086,0.1009521484375,0.01432024297118187,0.2646280825138092,0.0427653007209301,0.011861165054142475,8.138021075865254e-05,0.0001220703125,0.0,6.103515625e-05,4.069010537932627e-05,0.00970458984375,0.00018310546875,0.0006917317514307797,0.0031941730994731188,0.32843017578125,0.0037434895057231188,0.0006103515625,0.0001220703125,0.00016276042151730508,0.00010172525799134746,4.069010537932627e-05,0.0001220703125,0.1498006135225296,0.0469156913459301,0.0711669921875,0.053466796875,0.01031494140625,0.0016072591533884406,6.103515625e-05,0.0,-1.7178814743027233,3.289753292856357,0,1
pinterest_future_city_003,E:\11.python work\cora-data\photos1\pinterest_future_city_003.jpg,park relaxed,pinterest_park_images,0.5775160789489746,0.5083553791046143,0.4443981945514679,0.20589783787727356,0.20615696907043457,0.1903306096792221,0.5217538871017157,0.2021156806276958,0.14288330078125,0.02066506268829107,0.1534830778837204,0.14434814453125,0.01007080078125,0.0013224283466115594,0.0013631185283884406,0.0008748372201807797,0.0031331379432231188,0.0017293294658884406,0.00213623046875,0.0017903646221384406,0.00360107421875,0.009480793960392475,0.0728352889418602,0.1127726212143898,0.0861002579331398,0.0571492500603199,0.00384521484375,0.0005289713735692203,8.138021075865254e-05,2.0345052689663135e-05,0.0,0.01747640036046505,0.0441080741584301,0.06365966796875,0.0676676407456398,0.0649007186293602,0.0389200858771801,0.0366007499396801,1.307413557590762,-0.22994715934557403,1,0
pinterest_future_city_004,E:\11.python work\cora-data\photos1\pinterest_future_city_004.jpg,park relaxed,pinterest_park_images,0.28998690843582153,0.27430659532546997,0.28254708647727966,0.1992821991443634,0.1642557829618454,0.12940475344657898,0.28002403109681373,0.1690044612068703,0.14117431640625,0.025399096864461897,0.0560099296271801,0.0484619140625,0.01654052734375,0.0015462239971384406,0.0023193359375,0.0019938151817768812,0.012980143539607525,0.1279500275850296,0.02396647073328495,0.012959797866642475,0.009684245102107525,0.0189208984375,0.0615437813103199,0.0886026993393898,0.09765625,0.0612386055290699,0.01786295510828495,0.0045369467698037624,0.00091552734375,0.0009765625,0.013875325210392475,0.138916015625,0.0739542618393898,0.0552571602165699,0.02909342385828495,0.01019287109375,0.007914225570857525,0.0041300454176962376,-2.643482126594464,3.682417292183545,0,1
pinterest_future_city_005,E:\11.python work\cora-data\photos1\pinterest_future_city_005.jpg,park relaxed,pinterest_park_images,0.43722882866859436,0.3642760217189789,0.30350247025489807,0.2086566686630249,0.17971493303775787,0.15962180495262146,0.3792181276807598,0.18513470432980275,0.046875,0.004356198787689209,0.2038777619600296,0.1078898087143898,0.013163249008357525,0.00091552734375,0.0009765625,0.0,0.00018310546875,0.001220703125,0.0013427734375,0.00048828125,0.0007527669076807797,0.0025227863807231188,0.0314534492790699,0.0645548477768898,0.13006591796875,0.09356689453125,0.008097331039607525,0.0033772785682231188,0.0013020833721384406,0.00091552734375,0.04248046875,0.01239013671875,0.0859578475356102,0.0456136055290699,0.070556640625,0.0623575858771801,0.01397705078125,0.0,-1.2264430282234287,1.2104950146849451,0,1
pinterest_future_city_006,E:\11.python work\cora-data\photos1\pinterest_future_city_006.jpg,park relaxed,pinterest_park_images,0.5662744045257568,0.5275170803070068,0.46518051624298096,0.28811269998550415,0.31103748083114624,0.3375115990638733,0.532080078125,0.306832676350619,0.087646484375,0.024046679364144802,0.0579427070915699,0.2109171599149704,0.0419718436896801,0.008382161147892475,0.008036295883357525,0.0023396809119731188,0.0008341471548192203,0.00010172525799134746,0.0013427734375,0.0006103515625,0.00040690103196538985,0.00044759115553461015,0.13873291015625,0.02494303323328495,0.01961263082921505,0.0492350272834301,0.0638427734375,0.02504475973546505,0.00787353515625,0.0040486655198037624,0.00164794921875,0.0641276016831398,0.0524698905646801,0.0453898124396801,0.01564534567296505,0.013203938491642475,0.05865478515625,0.0821940079331398,2.14703503846816,1.4628091432844863,1,0
pinterest_future_city_007,E:\11.python work\cora-data\photos1\pinterest_future_city_007.jpg,park relaxed,pinterest_park_images,0.44028133153915405,0.3794309198856354,0.3219664692878723,0.3102568984031677,0.29441580176353455,0.26905664801597595,0.3910771388633578,0.2954356621901575,0.1702880859375,0.04017990255355835,0.1504923552274704,0.1505126953125,0.00567626953125,0.0006917317514307797,0.000732421875,0.000244140625,0.0014851888408884406,0.0065104165114462376,0.0055338540114462376,0.0016886392841115594,0.0027058918494731188,0.0070597329176962376,0.02248128317296505,0.1073811873793602,0.0637003555893898,0.04345703125,0.0312906913459301,0.0211181640625,0.0155029296875,0.02840169332921505,0.0745849609375,0.0461222343146801,0.0347086600959301,0.03004964254796505,0.03802490234375,0.0408732108771801,0.03314208984375,0.03582763671875,0.6567161494415927,3.5864260263909147,1,0
pinterest_future_city_008,E:\11.python work\cora-data\photos1\pinterest_future_city_008.jpg,park relaxed,pinterest_park_images,0.3077564835548401,0.3077564835548401,0.3077564835548401,0.25644031167030334,0.25644031167030334,0.25644031167030334,0.30775649126838234,0.25644031693780517,0.15008544921875,0.03806459901332855,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173299178481102,0.0575968436896801,0.0319620780646801,0.0399576835334301,0.04412841796875,0.01918538473546505,0.013041178695857525,0.0101318359375,1.00178976040669,3.438013140207606,0,1
pinterest_future_city_009,E:\11.python work\cora-data\photos1\pinterest_future_city_009.jpg,park relaxed,pinterest_park_images,0.5355545282363892,0.4975433051586151,0.4224042296409607,0.2594432532787323,0.25192394852638245,0.2297014594078064,0.5003209731158088,0.2434005291360674,0.173828125,0.03155959434360266,0.0859375,0.0934651717543602,0.05291748046875,0.01865641213953495,0.009073893539607525,0.0128173828125,0.02669270895421505,0.0089111328125,0.0036824543494731188,0.0018513997783884406,0.0031534831505268812,0.01617431640625,0.1123453751206398,0.0789591446518898,0.0474853515625,0.0497233085334301,0.02364095114171505,0.011027018539607525,0.0055338540114462376,0.0046183266676962376,0.00909423828125,0.0509440116584301,0.0471598319709301,0.027099609375,0.03460693359375,0.0715128555893898,0.05670166015625,0.0362141914665699,1.6384477824382822,0.8579360781240665,1,0
